date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:53	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Sep%202017%2011:09:48%20GMT	http://radixtouch.in/hospital	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital.0.delayed	(from )
16:39:54	104962/104962	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202017%2005:31:08%20GMT	http://radixtouch.in/hospital/	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/index.html	(from )
16:39:54	680/680	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2008%20Sep%202017%2011:09:48%20GMT	http://radixtouch.in/robots.txt		(from )
16:39:54	12940/12940	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/simple-line-icons/simple-line-icons.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/simple-line-icons/simple-line-icons.min.css	(from http://radixtouch.in/hospital/)
16:39:54	30999/30999	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/css/font-awesome.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/font-awesome.min.css	(from http://radixtouch.in/hospital/)
16:39:55	121200/121200	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap/css/bootstrap.min.css	(from http://radixtouch.in/hospital/)
16:39:55	6457/6457	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/js/bootstrap-switch/css/bootstrap-switch.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/js/bootstrap-switch/css/bootstrap-switch.min.css	(from http://radixtouch.in/hospital/)
16:39:56	183824/183824	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Aug%202017%2005:42:32%20GMT	http://radixtouch.in/hospital/css/theme_style.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/theme_style.css	(from http://radixtouch.in/hospital/)
16:39:57	32891/32891	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/css/plugins.min.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/plugins.min.css	(from http://radixtouch.in/hospital/)
16:39:57	11657/11657	---MCZ	200	added ('OK')	text/css	date:Tue,%2022%20Aug%202017%2005:36:48%20GMT	http://radixtouch.in/hospital/css/style.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/style.css	(from http://radixtouch.in/hospital/)
16:39:57	36627/36627	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Aug%202017%2005:45:44%20GMT	http://radixtouch.in/hospital/css/responsive.css	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/css/responsive.css	(from http://radixtouch.in/hospital/)
16:39:58	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/img/favicon.ico	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/favicon.ico	(from http://radixtouch.in/hospital/)
16:39:58	104962/104962	---MCZ	200	added ('OK')	text/html	date:Fri,%2018%20Aug%202017%2005:31:08%20GMT	http://radixtouch.in/hospital/index.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/index-2.html	(from http://radixtouch.in/hospital/)
16:39:58	5734/5734	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jul%202017%2004:56:16%20GMT	http://radixtouch.in/hospital/img/logo.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/logo.png	(from http://radixtouch.in/hospital/)
16:39:59	545/545	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/img/flags/gb.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/flags/gb.png	(from http://radixtouch.in/hospital/)
16:39:59	545/545	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/img/flags/de.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/flags/de.png	(from http://radixtouch.in/hospital/)
16:39:59	446/446	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/img/flags/ua.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/flags/ua.png	(from http://radixtouch.in/hospital/)
16:40:00	469/469	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/img/flags/es.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/flags/es.png	(from http://radixtouch.in/hospital/)
16:40:00	420/420	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/img/flags/ru.png	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/flags/ru.png	(from http://radixtouch.in/hospital/)
16:40:00	7458/7458	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/img/doc/doc2.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/doc/doc2.svg	(from http://radixtouch.in/hospital/)
16:40:01	7590/7590	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/img/doc/doc1.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/doc/doc1.svg	(from http://radixtouch.in/hospital/)
16:40:01	4522/4522	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/img/doc/doc8.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/doc/doc8.svg	(from http://radixtouch.in/hospital/)
16:40:02	8135/8135	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/img/doc/doc5.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/doc/doc5.svg	(from http://radixtouch.in/hospital/)
16:40:02	3913/3913	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/img/dp.svg	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/img/dp.svg	(from http://radixtouch.in/hospital/)
16:40:02	88864/88864	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/user_profile.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/user_profile.html	(from http://radixtouch.in/hospital/)
16:40:02	1833/1833	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:56%20GMT	http://radixtouch.in/hospital/lock_screen.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/lock_screen.html	(from http://radixtouch.in/hospital/)
16:40:03	2928/2928	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/login.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/login.html	(from http://radixtouch.in/hospital/)
16:40:03	119564/119564	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/email_inbox.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/email_inbox.html	(from http://radixtouch.in/hospital/)
16:40:03	81152/81152	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/email_view.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/email_view.html	(from http://radixtouch.in/hospital/)
16:40:04	79033/79033	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:58%20GMT	http://radixtouch.in/hospital/email_compose.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/email_compose.html	(from http://radixtouch.in/hospital/)
16:40:05	70629/70629	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:52%20GMT	http://radixtouch.in/hospital/schedule.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/schedule.html	(from http://radixtouch.in/hospital/)
16:40:05	82066/82066	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:54%20GMT	http://radixtouch.in/hospital/book_appointment.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/book_appointment.html	(from http://radixtouch.in/hospital/)
16:40:05	96311/96311	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Aug%202017%2004:38:50%20GMT	http://radixtouch.in/hospital/view_appointment.html	E:/Future%20Yatra/RupeeLink/GST%20Software/radixtouch.in/hospital/view_appointment.html	(from http://radixtouch.in/hospital/)
